episode,reward,steps
0,12.0,827
1,11.0,940
2,12.0,629
3,14.0,913
4,10.0,813
5,9.0,469
6,5.0,626
7,9.0,494
8,6.0,405
9,8.0,538
10,11.0,849
11,16.0,962
12,8.0,637
13,10.0,900
14,4.0,532
15,10.0,615
16,17.0,974
17,3.0,524
18,11.0,614
19,5.0,547
20,28.0,1608
21,9.0,769
22,9.0,682
23,6.0,491
24,7.0,512
25,11.0,827
26,10.0,643
27,14.0,1071
28,8.0,525
29,9.0,505
30,5.0,512
31,8.0,568
32,7.0,393
33,9.0,656
34,11.0,755
35,6.0,621
36,5.0,607
37,12.0,931
38,12.0,555
39,6.0,591
40,10.0,787
41,12.0,768
42,11.0,749
43,6.0,696
44,8.0,368
45,4.0,495
46,6.0,533
47,9.0,672
48,14.0,1190
49,7.0,589
50,11.0,802
51,8.0,657
52,9.0,665
53,12.0,697
54,7.0,795
55,6.0,595
56,23.0,1108
57,6.0,383
58,7.0,696
59,11.0,608
60,5.0,455
61,6.0,676
62,5.0,388
63,10.0,821
64,10.0,764
65,5.0,414
66,9.0,791
67,11.0,671
68,12.0,813
69,7.0,631
70,8.0,700
71,6.0,441
72,10.0,780
73,11.0,716
74,9.0,730
75,18.0,1080
76,10.0,634
77,11.0,820
78,12.0,1122
79,9.0,600
80,7.0,496
81,14.0,822
82,12.0,584
83,9.0,723
84,7.0,642
85,5.0,556
86,7.0,587
87,3.0,458
88,6.0,622
89,5.0,375
90,11.0,660
91,11.0,708
92,12.0,714
93,10.0,743
94,6.0,490
95,2.0,369
96,11.0,648
97,19.0,880
98,11.0,667
99,10.0,643
100,8.0,594
101,7.0,399
102,3.0,422
103,8.0,649
104,9.0,670
105,10.0,583
106,7.0,609
107,10.0,650
108,14.0,929
109,7.0,633
110,8.0,622
111,14.0,875
112,2.0,429
113,6.0,366
114,10.0,788
115,14.0,1072
116,7.0,613
117,8.0,772
118,9.0,559
119,18.0,1282
120,10.0,506
121,9.0,579
122,5.0,545
123,12.0,771
124,18.0,1026
125,11.0,616
126,6.0,429
127,7.0,600
128,5.0,609
129,3.0,528
130,6.0,493
131,7.0,480
132,12.0,643
133,10.0,778
134,22.0,1238
135,15.0,832
136,7.0,472
137,10.0,549
138,11.0,579
139,12.0,794
140,5.0,394
141,7.0,580
142,10.0,709
143,15.0,851
144,11.0,721
145,7.0,578
146,10.0,791
147,11.0,630
148,10.0,788
149,14.0,1507
150,13.0,631
151,5.0,577
152,9.0,632
153,7.0,676
154,5.0,633
155,6.0,527
156,25.0,1019
157,6.0,408
158,10.0,539
159,16.0,993
160,6.0,540
161,18.0,808
162,12.0,667
163,9.0,494
164,23.0,1276
165,20.0,874
166,10.0,654
167,20.0,989
168,9.0,642
169,11.0,636
170,10.0,525
171,11.0,671
172,10.0,688
173,9.0,671
174,9.0,708
175,9.0,708
176,5.0,571
177,8.0,497
178,9.0,609
179,8.0,844
180,14.0,856
181,5.0,422
182,13.0,654
183,11.0,680
184,7.0,654
185,7.0,653
186,8.0,639
187,12.0,817
188,4.0,378
189,15.0,1593
190,11.0,610
191,9.0,651
192,10.0,646
193,22.0,1017
194,6.0,398
195,16.0,991
196,10.0,742
197,13.0,971
198,8.0,567
199,15.0,1352
200,14.0,690
201,13.0,1182
202,13.0,699
203,8.0,407
204,8.0,619
205,17.0,1178
206,12.0,804
207,12.0,805
208,11.0,687
209,8.0,554
210,9.0,793
211,13.0,785
212,16.0,1443
213,4.0,386
214,10.0,611
215,9.0,594
216,22.0,1071
217,13.0,875
218,3.0,377
219,12.0,680
220,12.0,925
221,6.0,514
222,11.0,797
223,12.0,795
224,6.0,507
225,6.0,521
226,8.0,696
227,11.0,570
228,14.0,932
229,7.0,584
230,8.0,375
231,13.0,688
232,8.0,671
233,12.0,657
234,8.0,676
235,9.0,534
236,9.0,689
237,6.0,397
238,6.0,485
239,7.0,395
240,6.0,428
241,4.0,501
242,8.0,621
243,12.0,766
244,4.0,389
245,11.0,825
246,12.0,761
247,6.0,559
248,11.0,749
249,19.0,1273
250,6.0,685
251,8.0,618
252,12.0,706
